Concurso,Data,Prêmio1,Prêmio2,Prêmio3,Prêmio4,Prêmio5
120,07/12/1963,ímpar,ímpar,ímpar,ímpar,par
121,11/12/1963,par,ímpar,ímpar,par,ímpar
122,14/12/1963,ímpar,par,par,ímpar,par
123,18/12/1963,par,ímpar,par,ímpar,par
124,21/12/1963,ímpar,ímpar,ímpar,par,par
125,28/12/1963,par,par,par,par,par
126,04/01/1964,ímpar,ímpar,ímpar,ímpar,par
127,08/01/1964,par,ímpar,par,ímpar,par
128,11/01/1964,ímpar,par,par,ímpar,par
129,15/01/1964,ímpar,ímpar,ímpar,ímpar,par
130,18/01/1964,ímpar,ímpar,par,par,par
131,22/01/1964,par,par,ímpar,par,ímpar
132,25/01/1964,par,par,par,par,ímpar
133,29/01/1964,ímpar,ímpar,ímpar,ímpar,par
134,01/02/1964,ímpar,par,ímpar,par,par
135,05/02/1964,par,par,par,ímpar,ímpar
136,08/02/1964,par,par,par,ímpar,par
137,15/02/1964,par,par,par,ímpar,ímpar
138,19/02/1964,par,ímpar,par,par,par
139,22/02/1964,ímpar,ímpar,par,ímpar,par
140,26/02/1964,par,ímpar,ímpar,par,ímpar
141,29/02/1964,par,par,par,par,ímpar
142,04/03/1964,ímpar,par,par,par,par
143,07/03/1964,par,par,ímpar,ímpar,ímpar
144,11/03/1964,par,par,ímpar,par,par
145,14/03/1964,ímpar,ímpar,ímpar,par,ímpar
146,18/03/1964,ímpar,par,ímpar,ímpar,ímpar
147,21/03/1964,par,ímpar,ímpar,par,ímpar
148,25/03/1964,par,ímpar,ímpar,ímpar,par
150,04/04/1964,ímpar,par,ímpar,ímpar,par
149,06/04/1964,ímpar,ímpar,par,par,par
151,08/04/1964,ímpar,par,par,par,par
152,11/04/1964,par,ímpar,ímpar,ímpar,par
153,15/04/1964,par,par,par,par,par
154,18/04/1964,par,ímpar,par,par,ímpar
155,22/04/1964,ímpar,ímpar,par,par,par
156,25/04/1964,ímpar,ímpar,ímpar,par,ímpar
157,29/04/1964,ímpar,par,ímpar,par,par
158,02/05/1964,par,ímpar,ímpar,par,par
159,06/05/1964,ímpar,ímpar,ímpar,ímpar,ímpar
160,09/05/1964,par,par,ímpar,par,ímpar
161,13/05/1964,par,ímpar,par,par,par
162,16/05/1964,ímpar,ímpar,par,par,ímpar
163,20/05/1964,par,ímpar,ímpar,ímpar,par
164,23/05/1964,ímpar,par,par,ímpar,ímpar
165,27/05/1964,ímpar,par,ímpar,ímpar,ímpar
166,30/05/1964,ímpar,ímpar,ímpar,par,ímpar
167,03/06/1964,ímpar,ímpar,par,ímpar,ímpar
168,06/06/1964,ímpar,par,par,par,par
169,10/06/1964,ímpar,par,par,ímpar,ímpar
170,13/06/1964,par,par,par,ímpar,ímpar
171,17/06/1964,par,par,ímpar,ímpar,par
172,20/06/1964,par,ímpar,par,par,ímpar
173,24/06/1964,par,ímpar,ímpar,ímpar,ímpar
174,27/06/1964,ímpar,par,ímpar,ímpar,par
175,01/07/1964,par,par,par,ímpar,ímpar
176,04/07/1964,ímpar,ímpar,ímpar,par,ímpar
177,08/07/1964,ímpar,ímpar,par,ímpar,ímpar
178,11/07/1964,par,ímpar,par,ímpar,par
179,15/07/1964,ímpar,par,ímpar,par,ímpar
180,18/07/1964,par,ímpar,par,ímpar,ímpar
181,22/07/1964,par,ímpar,par,ímpar,ímpar
182,25/07/1964,ímpar,ímpar,ímpar,ímpar,ímpar
183,29/07/1964,ímpar,ímpar,par,ímpar,ímpar
184,01/08/1964,par,par,ímpar,ímpar,par
185,05/08/1964,ímpar,par,ímpar,par,ímpar
186,08/08/1964,par,ímpar,ímpar,ímpar,par
187,12/08/1964,ímpar,par,par,par,ímpar
188,19/08/1964,ímpar,ímpar,par,ímpar,par
189,22/08/1964,par,par,ímpar,ímpar,par
190,26/08/1964,par,ímpar,ímpar,par,ímpar
191,29/08/1964,ímpar,ímpar,par,par,ímpar
192,02/09/1964,ímpar,ímpar,ímpar,par,par
193,05/09/1964,par,par,ímpar,ímpar,par
194,09/09/1964,par,ímpar,ímpar,par,ímpar
195,12/09/1964,ímpar,par,ímpar,ímpar,par
196,16/09/1964,ímpar,par,par,ímpar,par
197,19/09/1964,par,ímpar,par,ímpar,ímpar
198,23/09/1964,ímpar,par,ímpar,ímpar,par
199,26/09/1964,par,ímpar,par,par,par
200,30/09/1964,ímpar,ímpar,ímpar,par,ímpar
201,03/10/1964,ímpar,ímpar,par,par,par
202,07/10/1964,ímpar,par,ímpar,par,ímpar
203,10/10/1964,ímpar,par,par,par,par
204,14/10/1964,ímpar,ímpar,ímpar,ímpar,par
205,17/10/1964,par,ímpar,ímpar,ímpar,par
206,21/10/1964,par,par,ímpar,ímpar,ímpar
207,24/10/1964,par,par,par,par,ímpar
208,28/10/1964,par,ímpar,par,ímpar,par
209,31/10/1964,par,par,ímpar,ímpar,par
210,04/11/1964,ímpar,par,par,par,par
211,07/11/1964,ímpar,ímpar,ímpar,par,par
212,11/11/1964,par,par,ímpar,par,par
213,14/11/1964,ímpar,par,par,par,ímpar
214,18/11/1964,par,par,ímpar,par,ímpar
215,21/11/1964,par,par,ímpar,ímpar,par
216,25/11/1964,par,ímpar,ímpar,par,par
217,28/11/1964,par,par,ímpar,ímpar,ímpar
218,02/12/1964,par,par,par,ímpar,par
219,05/12/1964,par,par,par,ímpar,par
220,09/12/1964,ímpar,ímpar,par,ímpar,par
221,12/12/1964,ímpar,par,ímpar,par,par
222,16/12/1964,ímpar,ímpar,ímpar,ímpar,ímpar
223,19/12/1964,par,ímpar,par,ímpar,par
224,23/12/1964,ímpar,ímpar,par,par,par
225,26/12/1964,par,ímpar,par,ímpar,ímpar
226,30/12/1964,par,ímpar,ímpar,ímpar,ímpar
227,06/01/1965,par,par,par,par,ímpar
228,09/01/1965,par,ímpar,ímpar,ímpar,ímpar
229,13/01/1965,par,par,par,par,par
230,16/01/1965,ímpar,ímpar,ímpar,par,ímpar
231,23/01/1965,ímpar,par,par,ímpar,ímpar
232,27/01/1965,ímpar,par,par,par,ímpar
233,30/01/1965,ímpar,par,par,par,par
234,03/02/1965,par,par,par,par,par
235,06/02/1965,par,par,ímpar,par,par
236,10/02/1965,par,ímpar,par,ímpar,ímpar
237,13/02/1965,ímpar,par,ímpar,par,ímpar
238,17/02/1965,ímpar,ímpar,ímpar,ímpar,ímpar
239,20/02/1965,ímpar,par,ímpar,ímpar,par
240,24/02/1965,par,ímpar,ímpar,par,ímpar
241,27/02/1965,par,par,par,ímpar,par
242,06/03/1965,par,ímpar,ímpar,par,par
243,10/03/1965,ímpar,ímpar,ímpar,ímpar,par
244,13/03/1965,par,ímpar,par,ímpar,par
245,17/03/1965,ímpar,ímpar,ímpar,par,par
246,20/03/1965,par,par,ímpar,ímpar,par
247,24/03/1965,par,ímpar,ímpar,ímpar,par
248,27/03/1965,par,par,ímpar,par,par
249,31/03/1965,ímpar,par,ímpar,par,par
250,03/04/1965,ímpar,par,par,par,ímpar
251,07/04/1965,par,ímpar,ímpar,ímpar,ímpar
252,10/04/1965,par,ímpar,ímpar,par,par
253,14/04/1965,par,par,par,ímpar,par
254,17/04/1965,ímpar,par,ímpar,par,ímpar
255,24/04/1965,ímpar,par,par,ímpar,par
256,28/04/1965,ímpar,ímpar,par,ímpar,ímpar
257,05/05/1965,par,par,ímpar,par,par
258,08/05/1965,par,par,par,par,ímpar
259,12/05/1965,ímpar,par,ímpar,par,par
260,15/05/1965,ímpar,ímpar,ímpar,par,ímpar
261,19/05/1965,ímpar,ímpar,ímpar,par,ímpar
262,22/05/1965,par,ímpar,ímpar,par,ímpar
263,26/05/1965,par,par,ímpar,ímpar,par
264,29/05/1965,par,ímpar,par,par,par
265,02/06/1965,ímpar,ímpar,ímpar,ímpar,ímpar
266,05/06/1965,par,ímpar,par,par,ímpar
267,09/06/1965,ímpar,ímpar,ímpar,ímpar,par
268,12/06/1965,par,par,par,par,par
269,16/06/1965,par,par,par,ímpar,ímpar
270,19/06/1965,par,par,par,par,par
271,23/06/1965,ímpar,par,par,ímpar,par
272,26/06/1965,par,ímpar,ímpar,ímpar,ímpar
273,30/06/1965,ímpar,ímpar,ímpar,par,par
274,03/07/1965,par,ímpar,par,ímpar,ímpar
275,07/07/1965,par,ímpar,par,par,ímpar
276,10/07/1965,ímpar,par,par,ímpar,ímpar
277,14/07/1965,ímpar,par,ímpar,par,ímpar
278,17/07/1965,par,par,ímpar,par,ímpar
279,21/07/1965,ímpar,par,ímpar,par,ímpar
280,24/07/1965,par,ímpar,ímpar,ímpar,par
281,28/07/1965,ímpar,ímpar,par,ímpar,par
282,31/07/1965,ímpar,ímpar,par,par,ímpar
283,04/08/1965,par,ímpar,ímpar,par,ímpar
284,07/08/1965,par,ímpar,par,par,ímpar
285,11/08/1965,par,ímpar,ímpar,ímpar,ímpar
286,14/08/1965,ímpar,par,ímpar,par,ímpar
287,18/08/1965,par,par,ímpar,par,par
288,21/08/1965,par,par,par,par,ímpar
289,25/08/1965,ímpar,ímpar,ímpar,par,par
290,28/08/1965,ímpar,par,par,ímpar,par
291,01/09/1965,par,par,ímpar,par,ímpar
292,04/09/1965,par,par,ímpar,par,par
293,08/09/1965,par,ímpar,par,par,par
294,11/09/1965,ímpar,ímpar,ímpar,par,ímpar
295,15/09/1965,par,ímpar,ímpar,ímpar,par
296,18/09/1965,par,par,par,par,ímpar
297,22/09/1965,par,ímpar,ímpar,par,par
298,25/09/1965,par,ímpar,par,ímpar,par
299,29/09/1965,ímpar,par,par,par,par
300,02/10/1965,ímpar,ímpar,par,ímpar,ímpar
301,06/10/1965,par,ímpar,ímpar,par,ímpar
302,09/10/1965,ímpar,ímpar,par,par,par
303,13/10/1965,par,ímpar,par,ímpar,par
304,16/10/1965,ímpar,ímpar,par,par,par
305,20/10/1965,ímpar,ímpar,par,par,par
306,23/10/1965,ímpar,par,ímpar,par,ímpar
307,27/10/1965,par,ímpar,par,par,ímpar
308,30/10/1965,ímpar,ímpar,par,par,ímpar
309,03/11/1965,ímpar,par,par,ímpar,ímpar
310,06/11/1965,ímpar,par,ímpar,ímpar,ímpar
311,10/11/1965,par,par,par,par,ímpar
312,13/11/1965,ímpar,ímpar,par,ímpar,par
313,17/11/1965,par,par,par,ímpar,par
314,20/11/1965,par,par,ímpar,ímpar,par
315,24/11/1965,ímpar,ímpar,par,ímpar,par
316,27/11/1965,par,ímpar,par,par,ímpar
317,01/12/1965,par,par,ímpar,par,ímpar
318,04/12/1965,par,ímpar,ímpar,ímpar,par
319,08/12/1965,ímpar,ímpar,ímpar,par,par
320,11/12/1965,ímpar,ímpar,ímpar,par,ímpar
321,15/12/1965,ímpar,ímpar,ímpar,ímpar,par
322,18/12/1965,ímpar,ímpar,par,ímpar,par
323,22/12/1965,ímpar,ímpar,par,par,ímpar
324,29/12/1965,par,ímpar,ímpar,par,par
325,05/01/1966,ímpar,ímpar,par,par,ímpar
326,08/01/1966,ímpar,par,par,ímpar,par
327,12/01/1966,ímpar,ímpar,ímpar,ímpar,ímpar
328,15/01/1966,ímpar,ímpar,par,ímpar,par
329,19/01/1966,ímpar,par,par,par,par
330,22/01/1966,ímpar,ímpar,par,ímpar,par
331,26/01/1966,ímpar,par,par,ímpar,ímpar
332,29/01/1966,ímpar,ímpar,ímpar,ímpar,par
333,02/02/1966,ímpar,par,ímpar,ímpar,ímpar
334,05/02/1966,ímpar,par,ímpar,ímpar,ímpar
335,09/02/1966,ímpar,par,ímpar,ímpar,ímpar
336,12/02/1966,ímpar,par,par,par,ímpar
337,16/02/1966,par,ímpar,par,ímpar,ímpar
338,19/02/1966,par,ímpar,ímpar,par,ímpar
339,26/02/1966,par,par,par,par,par
340,02/03/1966,ímpar,ímpar,par,par,par
341,05/03/1966,par,ímpar,ímpar,par,par
342,09/03/1966,par,ímpar,par,ímpar,ímpar
343,12/03/1966,ímpar,par,par,par,ímpar
344,16/03/1966,par,ímpar,ímpar,par,par
345,19/03/1966,par,ímpar,ímpar,ímpar,par
346,23/03/1966,ímpar,ímpar,par,par,ímpar
347,26/03/1966,ímpar,par,par,par,ímpar
348,30/03/1966,ímpar,ímpar,ímpar,ímpar,ímpar
349,02/04/1966,par,par,par,ímpar,par
350,06/04/1966,par,par,par,par,par
351,09/04/1966,par,ímpar,par,ímpar,par
352,13/04/1966,ímpar,ímpar,par,par,par
353,16/04/1966,par,par,ímpar,par,ímpar
354,20/04/1966,par,ímpar,ímpar,ímpar,ímpar
355,23/04/1966,par,par,par,ímpar,par
356,27/04/1966,ímpar,ímpar,par,ímpar,ímpar
357,30/04/1966,ímpar,ímpar,ímpar,ímpar,par
358,04/05/1966,ímpar,par,par,par,par
359,07/05/1966,ímpar,par,par,ímpar,par
360,11/05/1966,ímpar,ímpar,par,par,par
361,14/05/1966,ímpar,ímpar,ímpar,par,ímpar
362,18/05/1966,par,par,par,ímpar,ímpar
363,21/05/1966,par,ímpar,ímpar,ímpar,par
364,25/05/1966,par,ímpar,ímpar,par,par
365,28/05/1966,par,ímpar,ímpar,par,ímpar
366,01/06/1966,ímpar,par,ímpar,ímpar,ímpar
367,04/06/1966,par,ímpar,ímpar,par,ímpar
368,08/06/1966,par,par,ímpar,par,ímpar
369,11/06/1966,ímpar,ímpar,par,ímpar,par
370,15/06/1966,ímpar,par,ímpar,par,ímpar
371,18/06/1966,par,par,par,ímpar,par
372,22/06/1966,ímpar,par,ímpar,ímpar,par
373,25/06/1966,ímpar,ímpar,par,par,par
374,29/06/1966,ímpar,par,par,ímpar,par
375,02/07/1966,ímpar,ímpar,ímpar,ímpar,ímpar
376,06/07/1966,ímpar,par,par,ímpar,ímpar
377,07/07/1966,ímpar,ímpar,ímpar,ímpar,N/A
378,13/07/1966,par,par,par,par,par
379,16/07/1966,par,ímpar,ímpar,par,par
380,20/07/1966,ímpar,par,ímpar,ímpar,ímpar
381,23/07/1966,par,ímpar,ímpar,ímpar,par
382,01/08/1966,N/A,N/A,N/A,N/A,N/A
383,02/08/1966,N/A,N/A,N/A,N/A,N/A
384,03/08/1966,par,par,ímpar,par,ímpar
385,06/08/1966,ímpar,ímpar,par,par,ímpar
386,10/08/1966,ímpar,par,ímpar,ímpar,ímpar
387,13/08/1966,ímpar,ímpar,ímpar,ímpar,ímpar
388,17/08/1966,ímpar,ímpar,ímpar,ímpar,par
389,20/08/1966,ímpar,par,par,par,par
390,24/08/1966,par,ímpar,ímpar,ímpar,ímpar
391,27/08/1966,par,par,ímpar,ímpar,ímpar
392,31/08/1966,ímpar,ímpar,par,ímpar,par
393,03/09/1966,ímpar,ímpar,ímpar,par,ímpar
394,10/09/1966,ímpar,ímpar,ímpar,ímpar,par
395,14/09/1966,par,ímpar,ímpar,par,ímpar
396,17/09/1966,ímpar,par,par,ímpar,ímpar
397,21/09/1966,ímpar,par,ímpar,par,ímpar
398,24/09/1966,par,par,par,par,par
399,28/09/1966,ímpar,ímpar,ímpar,ímpar,ímpar
400,01/10/1966,par,ímpar,par,par,par
401,05/10/1966,ímpar,ímpar,ímpar,par,par
402,08/10/1966,par,par,par,ímpar,N/A
403,12/10/1966,par,par,ímpar,par,par
404,15/10/1966,ímpar,par,par,ímpar,par
405,19/10/1966,ímpar,ímpar,ímpar,par,par
406,22/10/1966,ímpar,ímpar,par,ímpar,par
407,26/10/1966,par,par,ímpar,ímpar,par
408,29/10/1966,par,ímpar,ímpar,ímpar,par
409,05/11/1966,par,par,ímpar,ímpar,ímpar
410,09/11/1966,par,par,par,ímpar,ímpar
411,12/11/1966,par,ímpar,ímpar,ímpar,ímpar
412,16/11/1966,ímpar,ímpar,par,par,par
413,19/11/1966,par,ímpar,par,ímpar,par
414,23/11/1966,ímpar,par,par,ímpar,par
415,26/11/1966,ímpar,ímpar,par,par,par
416,30/11/1966,par,ímpar,ímpar,ímpar,par
417,03/12/1966,par,ímpar,par,ímpar,par
418,07/12/1966,par,par,ímpar,par,par
419,10/12/1966,par,par,par,ímpar,ímpar
420,14/12/1966,ímpar,par,par,ímpar,par
421,17/12/1966,ímpar,ímpar,ímpar,par,par
422,21/12/1966,ímpar,ímpar,par,par,ímpar
423,24/12/1966,ímpar,ímpar,par,ímpar,ímpar
424,28/12/1966,par,ímpar,ímpar,ímpar,ímpar
425,31/12/1966,ímpar,ímpar,ímpar,ímpar,ímpar
426,04/01/1967,ímpar,ímpar,ímpar,par,par
427,07/01/1967,ímpar,ímpar,par,par,par
428,11/01/1967,ímpar,par,ímpar,par,ímpar
429,14/01/1967,par,ímpar,ímpar,par,par
430,18/01/1967,par,par,ímpar,ímpar,par
431,21/01/1967,par,par,par,ímpar,par
432,25/01/1967,par,ímpar,par,par,ímpar
433,28/01/1967,ímpar,par,par,ímpar,ímpar
434,01/02/1967,ímpar,ímpar,par,ímpar,par
435,04/02/1967,ímpar,par,par,par,ímpar
436,11/02/1967,par,ímpar,par,par,par
437,15/02/1967,ímpar,par,par,ímpar,par
438,18/02/1967,ímpar,ímpar,ímpar,ímpar,par
439,22/02/1967,ímpar,par,par,par,ímpar
440,25/02/1967,par,par,ímpar,ímpar,par
441,01/03/1967,par,par,par,par,par
442,04/03/1967,par,par,ímpar,par,ímpar
443,08/03/1967,ímpar,par,par,par,ímpar
444,11/03/1967,par,ímpar,par,par,par
445,15/03/1967,ímpar,ímpar,ímpar,ímpar,ímpar
446,18/03/1967,ímpar,ímpar,ímpar,par,ímpar
447,22/03/1967,ímpar,ímpar,par,ímpar,par
448,25/03/1967,ímpar,N/A,ímpar,par,ímpar
449,29/03/1967,ímpar,par,par,ímpar,ímpar
450,01/04/1967,par,par,ímpar,ímpar,par
451,05/04/1967,par,par,par,ímpar,ímpar
452,08/04/1967,par,ímpar,ímpar,ímpar,par
453,12/04/1967,ímpar,ímpar,ímpar,par,ímpar
454,15/04/1967,par,par,ímpar,ímpar,ímpar
455,19/04/1967,ímpar,par,par,ímpar,ímpar
456,22/04/1967,par,ímpar,ímpar,ímpar,ímpar
457,26/04/1967,par,par,par,ímpar,ímpar
458,29/04/1967,ímpar,ímpar,par,par,par
459,03/05/1967,par,ímpar,ímpar,par,ímpar
460,06/05/1967,par,ímpar,par,ímpar,par
461,10/05/1967,ímpar,par,par,ímpar,par
462,13/05/1967,par,ímpar,ímpar,par,ímpar
463,17/05/1967,par,par,par,ímpar,par
464,20/05/1967,ímpar,ímpar,par,par,ímpar
465,24/05/1967,ímpar,par,par,par,par
466,27/05/1967,par,ímpar,par,par,par
467,31/05/1967,ímpar,ímpar,ímpar,ímpar,ímpar
468,03/06/1967,par,par,ímpar,ímpar,par
469,07/06/1967,par,par,ímpar,ímpar,par
470,10/06/1967,ímpar,par,par,ímpar,ímpar
471,14/06/1967,par,par,par,ímpar,par
472,17/06/1967,par,ímpar,ímpar,ímpar,par
473,21/06/1967,par,ímpar,par,par,par
474,24/06/1967,par,ímpar,ímpar,par,ímpar
475,28/06/1967,par,ímpar,ímpar,ímpar,ímpar
476,01/07/1967,ímpar,par,par,par,par
477,05/07/1967,par,ímpar,par,ímpar,par
478,08/07/1967,par,par,par,par,par
479,12/07/1967,par,par,par,par,ímpar
480,15/07/1967,par,ímpar,ímpar,par,par
481,19/07/1967,ímpar,par,par,par,ímpar
482,22/07/1967,ímpar,ímpar,par,par,ímpar
483,26/07/1967,ímpar,par,par,ímpar,par
484,29/07/1967,ímpar,par,par,ímpar,ímpar
485,02/08/1967,ímpar,ímpar,ímpar,ímpar,par
486,05/08/1967,par,par,ímpar,ímpar,par
487,09/08/1967,ímpar,ímpar,ímpar,ímpar,ímpar
488,12/08/1967,par,par,ímpar,ímpar,ímpar
489,16/08/1967,ímpar,par,ímpar,ímpar,ímpar
490,19/08/1967,ímpar,ímpar,ímpar,ímpar,ímpar
491,23/08/1967,ímpar,ímpar,ímpar,ímpar,par
492,26/08/1967,ímpar,par,ímpar,ímpar,ímpar
493,30/08/1967,ímpar,ímpar,par,par,ímpar
494,02/09/1967,par,ímpar,ímpar,par,par
495,06/09/1967,par,par,par,ímpar,ímpar
496,09/09/1967,ímpar,ímpar,par,ímpar,ímpar
497,13/09/1967,ímpar,par,par,ímpar,ímpar
498,16/09/1967,par,ímpar,ímpar,ímpar,par
499,20/09/1967,ímpar,par,ímpar,par,ímpar
500,23/09/1967,ímpar,par,ímpar,ímpar,par
501,27/09/1967,par,par,par,par,par
502,30/09/1967,par,par,par,par,ímpar
503,04/10/1967,par,ímpar,par,par,par
504,07/10/1967,par,par,par,par,ímpar
505,11/10/1967,par,ímpar,par,ímpar,ímpar
506,14/10/1967,par,par,par,par,par
507,18/10/1967,ímpar,par,ímpar,par,ímpar
508,21/10/1967,par,ímpar,par,par,par
509,25/10/1967,par,ímpar,par,par,par
510,28/10/1967,ímpar,ímpar,ímpar,par,ímpar
511,01/11/1967,ímpar,par,ímpar,par,par
512,04/11/1967,par,par,ímpar,ímpar,ímpar
513,08/11/1967,ímpar,par,par,ímpar,par
514,11/11/1967,par,par,ímpar,par,ímpar
515,18/11/1967,ímpar,ímpar,par,par,ímpar
516,22/11/1967,ímpar,par,par,par,ímpar
517,25/11/1967,par,par,par,ímpar,ímpar
518,29/11/1967,ímpar,par,ímpar,ímpar,par
519,02/12/1967,par,par,ímpar,par,par
520,06/12/1967,ímpar,par,par,par,ímpar
521,09/12/1967,par,ímpar,par,ímpar,par
522,13/12/1967,par,par,par,par,par
523,16/12/1967,ímpar,ímpar,ímpar,par,par
524,20/12/1967,par,par,ímpar,par,ímpar
