Dezena,Resultado
58,"{'Concurso': 5833, 'Data': '17/01/2024', 'Dia da Semana': 'quarta'}"
38,"{'Concurso': 5832, 'Data': '13/01/2024', 'Dia da Semana': 'sábado'}"
79,"{'Concurso': 5831, 'Data': '10/01/2024', 'Dia da Semana': 'quarta'}"
17,"{'Concurso': 5830, 'Data': '06/01/2024', 'Dia da Semana': 'sábado'}"
47,"{'Concurso': 5829, 'Data': '03/01/2024', 'Dia da Semana': 'quarta'}"
77,"{'Concurso': 5828, 'Data': '30/12/2023', 'Dia da Semana': 'sábado'}"
49,"{'Concurso': 5827, 'Data': '23/12/2023', 'Dia da Semana': 'sábado'}"
92,"{'Concurso': 5826, 'Data': '16/12/2023', 'Dia da Semana': 'sábado'}"
59,"{'Concurso': 5825, 'Data': '13/12/2023', 'Dia da Semana': 'quarta'}"
36,"{'Concurso': 5824, 'Data': '09/12/2023', 'Dia da Semana': 'sábado'}"
9,"{'Concurso': 5823, 'Data': '06/12/2023', 'Dia da Semana': 'quarta'}"
98,"{'Concurso': 5822, 'Data': '02/12/2023', 'Dia da Semana': 'sábado'}"
74,"{'Concurso': 5821, 'Data': '29/11/2023', 'Dia da Semana': 'quarta'}"
86,"{'Concurso': 5820, 'Data': '25/11/2023', 'Dia da Semana': 'sábado'}"
66,"{'Concurso': 5819, 'Data': '22/11/2023', 'Dia da Semana': 'quarta'}"
25,"{'Concurso': 5817, 'Data': '16/11/2023', 'Dia da Semana': 'quinta'}"
35,"{'Concurso': 5816, 'Data': '11/11/2023', 'Dia da Semana': 'sábado'}"
53,"{'Concurso': 5815, 'Data': '08/11/2023', 'Dia da Semana': 'quarta'}"
41,"{'Concurso': 5814, 'Data': '04/11/2023', 'Dia da Semana': 'sábado'}"
14,"{'Concurso': 5812, 'Data': '28/10/2023', 'Dia da Semana': 'sábado'}"
37,"{'Concurso': 5811, 'Data': '25/10/2023', 'Dia da Semana': 'quarta'}"
91,"{'Concurso': 5809, 'Data': '18/10/2023', 'Dia da Semana': 'quarta'}"
19,"{'Concurso': 5808, 'Data': '14/10/2023', 'Dia da Semana': 'sábado'}"
12,"{'Concurso': 5807, 'Data': '11/10/2023', 'Dia da Semana': 'quarta'}"
69,"{'Concurso': 5806, 'Data': '07/10/2023', 'Dia da Semana': 'sábado'}"
21,"{'Concurso': 5805, 'Data': '04/10/2023', 'Dia da Semana': 'quarta'}"
67,"{'Concurso': 5804, 'Data': '30/09/2023', 'Dia da Semana': 'sábado'}"
26,"{'Concurso': 5803, 'Data': '27/09/2023', 'Dia da Semana': 'quarta'}"
76,"{'Concurso': 5802, 'Data': '23/09/2023', 'Dia da Semana': 'sábado'}"
65,"{'Concurso': 5801, 'Data': '20/09/2023', 'Dia da Semana': 'quarta'}"
23,"{'Concurso': 5800, 'Data': '16/09/2023', 'Dia da Semana': 'sábado'}"
33,"{'Concurso': 5799, 'Data': '13/09/2023', 'Dia da Semana': 'quarta'}"
30,"{'Concurso': 5798, 'Data': '06/09/2023', 'Dia da Semana': 'quarta'}"
82,"{'Concurso': 5796, 'Data': '02/09/2023', 'Dia da Semana': 'sábado'}"
51,"{'Concurso': 5795, 'Data': '30/08/2023', 'Dia da Semana': 'quarta'}"
94,"{'Concurso': 5794, 'Data': '26/08/2023', 'Dia da Semana': 'sábado'}"
93,"{'Concurso': 5793, 'Data': '23/08/2023', 'Dia da Semana': 'quarta'}"
83,"{'Concurso': 5792, 'Data': '19/08/2023', 'Dia da Semana': 'sábado'}"
97,"{'Concurso': 5791, 'Data': '16/08/2023', 'Dia da Semana': 'quarta'}"
75,"{'Concurso': 5790, 'Data': '12/08/2023', 'Dia da Semana': 'sábado'}"
0,"{'Concurso': 5789, 'Data': '09/08/2023', 'Dia da Semana': 'quarta'}"
11,"{'Concurso': 5785, 'Data': '26/07/2023', 'Dia da Semana': 'quarta'}"
56,"{'Concurso': 5784, 'Data': '22/07/2023', 'Dia da Semana': 'sábado'}"
45,"{'Concurso': 5777, 'Data': '28/06/2023', 'Dia da Semana': 'quarta'}"
44,"{'Concurso': 5772, 'Data': '10/06/2023', 'Dia da Semana': 'sábado'}"
89,"{'Concurso': 5770, 'Data': '03/06/2023', 'Dia da Semana': 'sábado'}"
15,"{'Concurso': 5767, 'Data': '24/05/2023', 'Dia da Semana': 'quarta'}"
10,"{'Concurso': 5765, 'Data': '17/05/2023', 'Dia da Semana': 'quarta'}"
40,"{'Concurso': 5763, 'Data': '10/05/2023', 'Dia da Semana': 'quarta'}"
78,"{'Concurso': 5762, 'Data': '06/05/2023', 'Dia da Semana': 'sábado'}"
43,"{'Concurso': 5761, 'Data': '03/05/2023', 'Dia da Semana': 'quarta'}"
34,"{'Concurso': 5756, 'Data': '15/04/2023', 'Dia da Semana': 'sábado'}"
13,"{'Concurso': 5755, 'Data': '12/04/2023', 'Dia da Semana': 'quarta'}"
54,"{'Concurso': 5754, 'Data': '08/04/2023', 'Dia da Semana': 'sábado'}"
64,"{'Concurso': 5753, 'Data': '05/04/2023', 'Dia da Semana': 'quarta'}"
18,"{'Concurso': 5752, 'Data': '01/04/2023', 'Dia da Semana': 'sábado'}"
73,"{'Concurso': 5751, 'Data': '29/03/2023', 'Dia da Semana': 'quarta'}"
22,"{'Concurso': 5748, 'Data': '18/03/2023', 'Dia da Semana': 'sábado'}"
50,"{'Concurso': 5747, 'Data': '15/03/2023', 'Dia da Semana': 'quarta'}"
52,"{'Concurso': 5745, 'Data': '08/03/2023', 'Dia da Semana': 'quarta'}"
99,"{'Concurso': 5741, 'Data': '18/02/2023', 'Dia da Semana': 'sábado'}"
85,"{'Concurso': 5739, 'Data': '11/02/2023', 'Dia da Semana': 'sábado'}"
31,"{'Concurso': 5738, 'Data': '08/02/2023', 'Dia da Semana': 'quarta'}"
60,"{'Concurso': 5736, 'Data': '01/02/2023', 'Dia da Semana': 'quarta'}"
6,"{'Concurso': 5734, 'Data': '25/01/2023', 'Dia da Semana': 'quarta'}"
5,"{'Concurso': 5732, 'Data': '18/01/2023', 'Dia da Semana': 'quarta'}"
95,"{'Concurso': 5727, 'Data': '31/12/2022', 'Dia da Semana': 'sábado'}"
3,"{'Concurso': 5722, 'Data': '07/12/2022', 'Dia da Semana': 'quarta'}"
88,"{'Concurso': 5721, 'Data': '03/12/2022', 'Dia da Semana': 'sábado'}"
24,"{'Concurso': 5720, 'Data': '30/11/2022', 'Dia da Semana': 'quarta'}"
16,"{'Concurso': 5716, 'Data': '16/11/2022', 'Dia da Semana': 'quarta'}"
68,"{'Concurso': 5713, 'Data': '05/11/2022', 'Dia da Semana': 'sábado'}"
1,"{'Concurso': 5711, 'Data': '29/10/2022', 'Dia da Semana': 'sábado'}"
96,"{'Concurso': 5710, 'Data': '26/10/2022', 'Dia da Semana': 'quarta'}"
90,"{'Concurso': 5707, 'Data': '15/10/2022', 'Dia da Semana': 'sábado'}"
39,"{'Concurso': 5706, 'Data': '13/10/2022', 'Dia da Semana': 'quinta'}"
4,"{'Concurso': 5703, 'Data': '01/10/2022', 'Dia da Semana': 'sábado'}"
28,"{'Concurso': 5695, 'Data': '03/09/2022', 'Dia da Semana': 'sábado'}"
46,"{'Concurso': 5684, 'Data': '27/07/2022', 'Dia da Semana': 'quarta'}"
20,"{'Concurso': 5677, 'Data': '02/07/2022', 'Dia da Semana': 'sábado'}"
7,"{'Concurso': 5675, 'Data': '25/06/2022', 'Dia da Semana': 'sábado'}"
62,"{'Concurso': 5674, 'Data': '22/06/2022', 'Dia da Semana': 'quarta'}"
32,"{'Concurso': 5670, 'Data': '08/06/2022', 'Dia da Semana': 'quarta'}"
48,"{'Concurso': 5667, 'Data': '28/05/2022', 'Dia da Semana': 'sábado'}"
8,"{'Concurso': 5665, 'Data': '21/05/2022', 'Dia da Semana': 'sábado'}"
57,"{'Concurso': 5658, 'Data': '27/04/2022', 'Dia da Semana': 'quarta'}"
87,"{'Concurso': 5656, 'Data': '20/04/2022', 'Dia da Semana': 'quarta'}"
27,"{'Concurso': 5643, 'Data': '05/03/2022', 'Dia da Semana': 'sábado'}"
84,"{'Concurso': 5642, 'Data': '26/02/2022', 'Dia da Semana': 'sábado'}"
71,"{'Concurso': 5631, 'Data': '19/01/2022', 'Dia da Semana': 'quarta'}"
80,"{'Concurso': 5628, 'Data': '08/01/2022', 'Dia da Semana': 'sábado'}"
2,"{'Concurso': 5615, 'Data': '20/11/2021', 'Dia da Semana': 'sábado'}"
72,"{'Concurso': 5613, 'Data': '10/11/2021', 'Dia da Semana': 'quarta'}"
70,"{'Concurso': 5581, 'Data': '21/07/2021', 'Dia da Semana': 'quarta'}"
81,"{'Concurso': 5579, 'Data': '14/07/2021', 'Dia da Semana': 'quarta'}"
61,"{'Concurso': 5577, 'Data': '07/07/2021', 'Dia da Semana': 'quarta'}"
55,"{'Concurso': 5573, 'Data': '23/06/2021', 'Dia da Semana': 'quarta'}"
42,"{'Concurso': 5522, 'Data': '12/12/2020', 'Dia da Semana': 'sábado'}"
29,"{'Concurso': 5460, 'Data': '18/01/2020', 'Dia da Semana': 'sábado'}"
63,"{'Concurso': 5211, 'Data': '02/09/2017', 'Dia da Semana': 'sábado'}"
