Dezena,Resultado
74,"{'Concurso': 5699, 'Data': '17/09/2022', 'Dia da Semana': 'sábado'}"
64,"{'Concurso': 5697, 'Data': '10/09/2022', 'Dia da Semana': 'sábado'}"
3,"{'Concurso': 5685, 'Data': '30/07/2022', 'Dia da Semana': 'sábado'}"
77,"{'Concurso': 5684, 'Data': '27/07/2022', 'Dia da Semana': 'quarta'}"
57,"{'Concurso': 5678, 'Data': '06/07/2022', 'Dia da Semana': 'quarta'}"
82,"{'Concurso': 5658, 'Data': '27/04/2022', 'Dia da Semana': 'quarta'}"
46,"{'Concurso': 5657, 'Data': '23/04/2022', 'Dia da Semana': 'sábado'}"
70,"{'Concurso': 5655, 'Data': '16/04/2022', 'Dia da Semana': 'sábado'}"
37,"{'Concurso': 5651, 'Data': '02/04/2022', 'Dia da Semana': 'sábado'}"
29,"{'Concurso': 5649, 'Data': '26/03/2022', 'Dia da Semana': 'sábado'}"
91,"{'Concurso': 5648, 'Data': '23/03/2022', 'Dia da Semana': 'quarta'}"
98,"{'Concurso': 5647, 'Data': '19/03/2022', 'Dia da Semana': 'sábado'}"
51,"{'Concurso': 5645, 'Data': '12/03/2022', 'Dia da Semana': 'sábado'}"
0,"{'Concurso': 5636, 'Data': '05/02/2022', 'Dia da Semana': 'sábado'}"
68,"{'Concurso': 5631, 'Data': '19/01/2022', 'Dia da Semana': 'quarta'}"
56,"{'Concurso': 5619, 'Data': '04/12/2021', 'Dia da Semana': 'sábado'}"
78,"{'Concurso': 5618, 'Data': '01/12/2021', 'Dia da Semana': 'quarta'}"
1,"{'Concurso': 5616, 'Data': '24/11/2021', 'Dia da Semana': 'quarta'}"
47,"{'Concurso': 5613, 'Data': '10/11/2021', 'Dia da Semana': 'quarta'}"
52,"{'Concurso': 5601, 'Data': '29/09/2021', 'Dia da Semana': 'quarta'}"
12,"{'Concurso': 5591, 'Data': '25/08/2021', 'Dia da Semana': 'quarta'}"
35,"{'Concurso': 5579, 'Data': '14/07/2021', 'Dia da Semana': 'quarta'}"
62,"{'Concurso': 5553, 'Data': '07/04/2021', 'Dia da Semana': 'quarta'}"
49,"{'Concurso': 5544, 'Data': '06/03/2021', 'Dia da Semana': 'sábado'}"
60,"{'Concurso': 5542, 'Data': '27/02/2021', 'Dia da Semana': 'sábado'}"
72,"{'Concurso': 5539, 'Data': '18/02/2021', 'Dia da Semana': 'quinta'}"
22,"{'Concurso': 5448, 'Data': '11/12/2019', 'Dia da Semana': 'quarta'}"
11,"{'Concurso': 5439, 'Data': '09/11/2019', 'Dia da Semana': 'sábado'}"
33,"{'Concurso': 5433, 'Data': '19/10/2019', 'Dia da Semana': 'sábado'}"
80,"{'Concurso': 5408, 'Data': '24/07/2019', 'Dia da Semana': 'quarta'}"
83,"{'Concurso': 5251, 'Data': '20/01/2018', 'Dia da Semana': 'sábado'}"
