1º,24,57,45,00,22,07,28,38,31,40,39,72,94,90,49,21,88,82,26,36,92,33,44,01,09,64,98,97,51,15,76,46,41,35,19,59,62,95,80,08,23,52,17,67,06,27,91,14,65,96,,,,,
2º,06,40,35,24,65,37,68,13,78,33,43,15,76,74,36,30,89,32,88,71,60,29,16,90,59,97,82,02,85,69,47,20,87,09,48,61,49,25,03,31,83,26,80,22,39,17,34,84,08,56,18,,,,
3º,25,88,16,09,59,53,42,92,66,23,81,84,02,74,64,03,77,57,06,26,39,82,46,70,37,29,91,98,51,97,00,94,68,86,56,78,01,47,85,54,52,12,35,62,49,60,72,17,65,22,11,33,80,83,28
4º,18,97,71,22,31,01,10,35,26,81,76,15,07,28,45,75,74,73,66,03,16,85,51,19,84,23,42,41,63,56,25,60,48,49,90,89,30,98,05,04,88,44,59,36,58,11,08,93,29,91,17,00,40,,
5º,95,12,03,88,24,16,68,01,96,58,19,90,39,04,65,28,79,46,20,07,62,32,48,08,33,57,87,47,27,54,59,71,37,80,30,02,72,25,74,70,81,61,55,66,21,42,29,36,63,,,,,,
