Dezena,Resultado
8,"{'Concurso': 5830, 'Data': '06/01/2024', 'Dia da Semana': 'sábado'}"
0,"{'Concurso': 5829, 'Data': '03/01/2024', 'Dia da Semana': 'quarta'}"
22,"{'Concurso': 5828, 'Data': '30/12/2023', 'Dia da Semana': 'sábado'}"
34,"{'Concurso': 5827, 'Data': '23/12/2023', 'Dia da Semana': 'sábado'}"
66,"{'Concurso': 5826, 'Data': '16/12/2023', 'Dia da Semana': 'sábado'}"
87,"{'Concurso': 5825, 'Data': '13/12/2023', 'Dia da Semana': 'quarta'}"
84,"{'Concurso': 5824, 'Data': '09/12/2023', 'Dia da Semana': 'sábado'}"
49,"{'Concurso': 5823, 'Data': '06/12/2023', 'Dia da Semana': 'quarta'}"
18,"{'Concurso': 5822, 'Data': '02/12/2023', 'Dia da Semana': 'sábado'}"
79,"{'Concurso': 5821, 'Data': '29/11/2023', 'Dia da Semana': 'quarta'}"
15,"{'Concurso': 5820, 'Data': '25/11/2023', 'Dia da Semana': 'sábado'}"
64,"{'Concurso': 5819, 'Data': '22/11/2023', 'Dia da Semana': 'quarta'}"
6,"{'Concurso': 5818, 'Data': '18/11/2023', 'Dia da Semana': 'sábado'}"
2,"{'Concurso': 5817, 'Data': '16/11/2023', 'Dia da Semana': 'quinta'}"
61,"{'Concurso': 5816, 'Data': '11/11/2023', 'Dia da Semana': 'sábado'}"
81,"{'Concurso': 5815, 'Data': '08/11/2023', 'Dia da Semana': 'quarta'}"
51,"{'Concurso': 5814, 'Data': '04/11/2023', 'Dia da Semana': 'sábado'}"
19,"{'Concurso': 5813, 'Data': '01/11/2023', 'Dia da Semana': 'quarta'}"
99,"{'Concurso': 5812, 'Data': '28/10/2023', 'Dia da Semana': 'sábado'}"
55,"{'Concurso': 5810, 'Data': '21/10/2023', 'Dia da Semana': 'sábado'}"
14,"{'Concurso': 5809, 'Data': '18/10/2023', 'Dia da Semana': 'quarta'}"
85,"{'Concurso': 5805, 'Data': '04/10/2023', 'Dia da Semana': 'quarta'}"
76,"{'Concurso': 5804, 'Data': '30/09/2023', 'Dia da Semana': 'sábado'}"
38,"{'Concurso': 5803, 'Data': '27/09/2023', 'Dia da Semana': 'quarta'}"
35,"{'Concurso': 5802, 'Data': '23/09/2023', 'Dia da Semana': 'sábado'}"
44,"{'Concurso': 5801, 'Data': '20/09/2023', 'Dia da Semana': 'quarta'}"
20,"{'Concurso': 5800, 'Data': '16/09/2023', 'Dia da Semana': 'sábado'}"
29,"{'Concurso': 5798, 'Data': '06/09/2023', 'Dia da Semana': 'quarta'}"
3,"{'Concurso': 5796, 'Data': '02/09/2023', 'Dia da Semana': 'sábado'}"
54,"{'Concurso': 5795, 'Data': '30/08/2023', 'Dia da Semana': 'quarta'}"
5,"{'Concurso': 5794, 'Data': '26/08/2023', 'Dia da Semana': 'sábado'}"
52,"{'Concurso': 5791, 'Data': '16/08/2023', 'Dia da Semana': 'quarta'}"
21,"{'Concurso': 5784, 'Data': '22/07/2023', 'Dia da Semana': 'sábado'}"
58,"{'Concurso': 5783, 'Data': '19/07/2023', 'Dia da Semana': 'quarta'}"
73,"{'Concurso': 5782, 'Data': '15/07/2023', 'Dia da Semana': 'sábado'}"
91,"{'Concurso': 5781, 'Data': '12/07/2023', 'Dia da Semana': 'quarta'}"
93,"{'Concurso': 5780, 'Data': '08/07/2023', 'Dia da Semana': 'sábado'}"
28,"{'Concurso': 5777, 'Data': '28/06/2023', 'Dia da Semana': 'quarta'}"
63,"{'Concurso': 5776, 'Data': '24/06/2023', 'Dia da Semana': 'sábado'}"
27,"{'Concurso': 5773, 'Data': '14/06/2023', 'Dia da Semana': 'quarta'}"
75,"{'Concurso': 5771, 'Data': '07/06/2023', 'Dia da Semana': 'quarta'}"
94,"{'Concurso': 5766, 'Data': '20/05/2023', 'Dia da Semana': 'sábado'}"
11,"{'Concurso': 5765, 'Data': '17/05/2023', 'Dia da Semana': 'quarta'}"
92,"{'Concurso': 5764, 'Data': '13/05/2023', 'Dia da Semana': 'sábado'}"
12,"{'Concurso': 5763, 'Data': '10/05/2023', 'Dia da Semana': 'quarta'}"
77,"{'Concurso': 5762, 'Data': '06/05/2023', 'Dia da Semana': 'sábado'}"
62,"{'Concurso': 5761, 'Data': '03/05/2023', 'Dia da Semana': 'quarta'}"
96,"{'Concurso': 5759, 'Data': '26/04/2023', 'Dia da Semana': 'quarta'}"
50,"{'Concurso': 5758, 'Data': '22/04/2023', 'Dia da Semana': 'sábado'}"
53,"{'Concurso': 5757, 'Data': '19/04/2023', 'Dia da Semana': 'quarta'}"
70,"{'Concurso': 5756, 'Data': '15/04/2023', 'Dia da Semana': 'sábado'}"
41,"{'Concurso': 5754, 'Data': '08/04/2023', 'Dia da Semana': 'sábado'}"
95,"{'Concurso': 5753, 'Data': '05/04/2023', 'Dia da Semana': 'quarta'}"
86,"{'Concurso': 5751, 'Data': '29/03/2023', 'Dia da Semana': 'quarta'}"
7,"{'Concurso': 5748, 'Data': '18/03/2023', 'Dia da Semana': 'sábado'}"
45,"{'Concurso': 5747, 'Data': '15/03/2023', 'Dia da Semana': 'quarta'}"
72,"{'Concurso': 5745, 'Data': '08/03/2023', 'Dia da Semana': 'quarta'}"
42,"{'Concurso': 5744, 'Data': '04/03/2023', 'Dia da Semana': 'sábado'}"
67,"{'Concurso': 5743, 'Data': '01/03/2023', 'Dia da Semana': 'quarta'}"
57,"{'Concurso': 5741, 'Data': '18/02/2023', 'Dia da Semana': 'sábado'}"
23,"{'Concurso': 5739, 'Data': '11/02/2023', 'Dia da Semana': 'sábado'}"
46,"{'Concurso': 5738, 'Data': '08/02/2023', 'Dia da Semana': 'quarta'}"
4,"{'Concurso': 5736, 'Data': '01/02/2023', 'Dia da Semana': 'quarta'}"
10,"{'Concurso': 5734, 'Data': '25/01/2023', 'Dia da Semana': 'quarta'}"
1,"{'Concurso': 5729, 'Data': '07/01/2023', 'Dia da Semana': 'sábado'}"
98,"{'Concurso': 5728, 'Data': '04/01/2023', 'Dia da Semana': 'quarta'}"
40,"{'Concurso': 5725, 'Data': '17/12/2022', 'Dia da Semana': 'sábado'}"
24,"{'Concurso': 5718, 'Data': '23/11/2022', 'Dia da Semana': 'quarta'}"
65,"{'Concurso': 5716, 'Data': '16/11/2022', 'Dia da Semana': 'quarta'}"
37,"{'Concurso': 5715, 'Data': '12/11/2022', 'Dia da Semana': 'sábado'}"
68,"{'Concurso': 5713, 'Data': '05/11/2022', 'Dia da Semana': 'sábado'}"
13,"{'Concurso': 5711, 'Data': '29/10/2022', 'Dia da Semana': 'sábado'}"
78,"{'Concurso': 5705, 'Data': '08/10/2022', 'Dia da Semana': 'sábado'}"
33,"{'Concurso': 5703, 'Data': '01/10/2022', 'Dia da Semana': 'sábado'}"
43,"{'Concurso': 5698, 'Data': '14/09/2022', 'Dia da Semana': 'quarta'}"
74,"{'Concurso': 5692, 'Data': '24/08/2022', 'Dia da Semana': 'quarta'}"
36,"{'Concurso': 5689, 'Data': '13/08/2022', 'Dia da Semana': 'sábado'}"
30,"{'Concurso': 5682, 'Data': '20/07/2022', 'Dia da Semana': 'quarta'}"
89,"{'Concurso': 5681, 'Data': '16/07/2022', 'Dia da Semana': 'sábado'}"
32,"{'Concurso': 5678, 'Data': '06/07/2022', 'Dia da Semana': 'quarta'}"
88,"{'Concurso': 5677, 'Data': '02/07/2022', 'Dia da Semana': 'sábado'}"
71,"{'Concurso': 5675, 'Data': '25/06/2022', 'Dia da Semana': 'sábado'}"
60,"{'Concurso': 5673, 'Data': '18/06/2022', 'Dia da Semana': 'sábado'}"
16,"{'Concurso': 5667, 'Data': '28/05/2022', 'Dia da Semana': 'sábado'}"
90,"{'Concurso': 5665, 'Data': '21/05/2022', 'Dia da Semana': 'sábado'}"
59,"{'Concurso': 5663, 'Data': '14/05/2022', 'Dia da Semana': 'sábado'}"
97,"{'Concurso': 5660, 'Data': '04/05/2022', 'Dia da Semana': 'quarta'}"
82,"{'Concurso': 5659, 'Data': '30/04/2022', 'Dia da Semana': 'sábado'}"
69,"{'Concurso': 5637, 'Data': '09/02/2022', 'Dia da Semana': 'quarta'}"
47,"{'Concurso': 5636, 'Data': '05/02/2022', 'Dia da Semana': 'sábado'}"
9,"{'Concurso': 5629, 'Data': '12/01/2022', 'Dia da Semana': 'quarta'}"
48,"{'Concurso': 5623, 'Data': '18/12/2021', 'Dia da Semana': 'sábado'}"
25,"{'Concurso': 5615, 'Data': '20/11/2021', 'Dia da Semana': 'sábado'}"
31,"{'Concurso': 5597, 'Data': '15/09/2021', 'Dia da Semana': 'quarta'}"
83,"{'Concurso': 5596, 'Data': '11/09/2021', 'Dia da Semana': 'sábado'}"
26,"{'Concurso': 5576, 'Data': '03/07/2021', 'Dia da Semana': 'sábado'}"
80,"{'Concurso': 5574, 'Data': '26/06/2021', 'Dia da Semana': 'sábado'}"
39,"{'Concurso': 5563, 'Data': '19/05/2021', 'Dia da Semana': 'quarta'}"
17,"{'Concurso': 5550, 'Data': '27/03/2021', 'Dia da Semana': 'sábado'}"
56,"{'Concurso': 5422, 'Data': '11/09/2019', 'Dia da Semana': 'quarta'}"
