Dezena,Resultado
69,"{'Concurso': 5830, 'Data': '06/01/2024', 'Dia da Semana': 'sábado'}"
38,"{'Concurso': 5829, 'Data': '03/01/2024', 'Dia da Semana': 'quarta'}"
13,"{'Concurso': 5827, 'Data': '23/12/2023', 'Dia da Semana': 'sábado'}"
55,"{'Concurso': 5826, 'Data': '16/12/2023', 'Dia da Semana': 'sábado'}"
22,"{'Concurso': 5825, 'Data': '13/12/2023', 'Dia da Semana': 'quarta'}"
14,"{'Concurso': 5824, 'Data': '09/12/2023', 'Dia da Semana': 'sábado'}"
34,"{'Concurso': 5823, 'Data': '06/12/2023', 'Dia da Semana': 'quarta'}"
78,"{'Concurso': 5822, 'Data': '02/12/2023', 'Dia da Semana': 'sábado'}"
24,"{'Concurso': 5821, 'Data': '29/11/2023', 'Dia da Semana': 'quarta'}"
80,"{'Concurso': 5820, 'Data': '25/11/2023', 'Dia da Semana': 'sábado'}"
54,"{'Concurso': 5819, 'Data': '22/11/2023', 'Dia da Semana': 'quarta'}"
87,"{'Concurso': 5818, 'Data': '18/11/2023', 'Dia da Semana': 'sábado'}"
96,"{'Concurso': 5817, 'Data': '16/11/2023', 'Dia da Semana': 'quinta'}"
11,"{'Concurso': 5816, 'Data': '11/11/2023', 'Dia da Semana': 'sábado'}"
70,"{'Concurso': 5814, 'Data': '04/11/2023', 'Dia da Semana': 'sábado'}"
21,"{'Concurso': 5812, 'Data': '28/10/2023', 'Dia da Semana': 'sábado'}"
63,"{'Concurso': 5811, 'Data': '25/10/2023', 'Dia da Semana': 'quarta'}"
25,"{'Concurso': 5809, 'Data': '18/10/2023', 'Dia da Semana': 'quarta'}"
61,"{'Concurso': 5808, 'Data': '14/10/2023', 'Dia da Semana': 'sábado'}"
48,"{'Concurso': 5807, 'Data': '11/10/2023', 'Dia da Semana': 'quarta'}"
29,"{'Concurso': 5806, 'Data': '07/10/2023', 'Dia da Semana': 'sábado'}"
86,"{'Concurso': 5805, 'Data': '04/10/2023', 'Dia da Semana': 'quarta'}"
65,"{'Concurso': 5803, 'Data': '27/09/2023', 'Dia da Semana': 'quarta'}"
30,"{'Concurso': 5802, 'Data': '23/09/2023', 'Dia da Semana': 'sábado'}"
95,"{'Concurso': 5801, 'Data': '20/09/2023', 'Dia da Semana': 'quarta'}"
50,"{'Concurso': 5800, 'Data': '16/09/2023', 'Dia da Semana': 'sábado'}"
62,"{'Concurso': 5799, 'Data': '13/09/2023', 'Dia da Semana': 'quarta'}"
16,"{'Concurso': 5795, 'Data': '30/08/2023', 'Dia da Semana': 'quarta'}"
32,"{'Concurso': 5794, 'Data': '26/08/2023', 'Dia da Semana': 'sábado'}"
75,"{'Concurso': 5793, 'Data': '23/08/2023', 'Dia da Semana': 'quarta'}"
93,"{'Concurso': 5792, 'Data': '19/08/2023', 'Dia da Semana': 'sábado'}"
43,"{'Concurso': 5790, 'Data': '12/08/2023', 'Dia da Semana': 'sábado'}"
4,"{'Concurso': 5788, 'Data': '05/08/2023', 'Dia da Semana': 'sábado'}"
58,"{'Concurso': 5787, 'Data': '02/08/2023', 'Dia da Semana': 'quarta'}"
12,"{'Concurso': 5783, 'Data': '19/07/2023', 'Dia da Semana': 'quarta'}"
42,"{'Concurso': 5782, 'Data': '15/07/2023', 'Dia da Semana': 'sábado'}"
3,"{'Concurso': 5781, 'Data': '12/07/2023', 'Dia da Semana': 'quarta'}"
20,"{'Concurso': 5780, 'Data': '08/07/2023', 'Dia da Semana': 'sábado'}"
5,"{'Concurso': 5778, 'Data': '01/07/2023', 'Dia da Semana': 'sábado'}"
99,"{'Concurso': 5776, 'Data': '24/06/2023', 'Dia da Semana': 'sábado'}"
66,"{'Concurso': 5775, 'Data': '21/06/2023', 'Dia da Semana': 'quarta'}"
84,"{'Concurso': 5773, 'Data': '14/06/2023', 'Dia da Semana': 'quarta'}"
37,"{'Concurso': 5771, 'Data': '07/06/2023', 'Dia da Semana': 'quarta'}"
85,"{'Concurso': 5770, 'Data': '03/06/2023', 'Dia da Semana': 'sábado'}"
